owner	BAKEHOUSE	BEER & WINE	BREAD	BULK	CHEESE	DELI	FISH&SEAFOOD	FLOWERS	FROZEN	GEN MERCH	HERBS&SPICES	JUICE BAR	MEAT	PACKAGED GROCERY	PERSONAL CARE	PRODUCE	REF GROCERY	SUPPLEMENTS	total_spend
34294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	12.85
49407	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.58	0.0	0.04	0.02	0.0	173.19
34301	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.02	0.62	0.04	0.0	241.44
34310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.39
49409	0.0	0.0	0.37	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.12	0.29	0.0	23.16
49410	0.0	0.0	0.0	0.0	0.12	0.07	0.0	0.24	0.1	0.0	0.0	0.0	0.11	0.22	0.0	0.13	0.01	0.0	173.1
49411	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.12	0.01	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	12.67
49412	0.0	0.0	0.0	0.11	0.0	0.05	0.0	0.0	0.02	0.02	0.01	0.01	0.07	0.21	0.04	0.28	0.1	0.07	1135.4
49413	0.0	0.0	0.0	0.07	0.0	0.03	0.01	0.0	0.02	0.14	0.03	0.0	0.24	0.16	0.0	0.18	0.09	0.02	1056.03
49414	0.0	0.0	0.03	0.11	0.06	0.09	0.0	0.0	0.03	0.06	0.0	0.0	0.05	0.37	0.0	0.12	0.08	0.0	222.03
49415	0.0	0.0	0.11	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.09	0.12	0.0	0.1	0.0	0.43	0.0	0.0	61.86
34352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.09	0.0	0.0	0.39	0.0	8.66
49416	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.26	0.0	22.91
46274	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.09	0.2	0.0	0.07	0.0	0.59	104.64
49417	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	10.3
49418	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	46.59
49419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.45	0.0	0.05	0.1	0.0	38.46
49420	0.0	0.0	0.05	0.06	0.03	0.49	0.0	0.0	0.05	0.0	0.0	0.05	0.05	0.03	0.01	0.09	0.06	0.03	339.8
49421	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.36	0.0	0.14	0.31	0.0	29.18
34388	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.49
49422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49
34391	0.0	0.0	0.0	0.14	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.09	0.0	0.0	0.0	0.0	18.75
34392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.4	0.0	0.47	0.12	0.0	45.05
49423	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.81	0.0	0.0	31.63
34401	0.0	0.0	0.0	0.16	0.03	0.0	0.0	0.0	0.18	0.0	0.06	0.0	0.06	0.08	0.26	0.12	0.05	0.0	135.41
49425	0.0	0.0	0.0	0.0	0.08	0.03	0.0	0.0	0.07	0.09	0.0	0.17	0.06	0.25	0.02	0.2	0.05	0.0	334.72
34409	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.58
34412	0.0	0.0	0.0	0.05	0.0	0.61	0.0	0.0	0.04	0.0	0.02	0.01	0.0	0.06	0.05	0.08	0.06	0.0	540.94
49426	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47
49427	0.0	0.0	0.02	0.07	0.09	0.03	0.0	0.0	0.04	0.11	0.01	0.0	0.04	0.28	0.02	0.17	0.11	0.0	416.72
49428	0.0	0.0	0.04	0.03	0.05	0.47	0.0	0.0	0.04	0.0	0.0	0.0	0.02	0.13	0.0	0.13	0.1	0.0	284.16
49429	0.0	0.0	0.01	0.01	0.01	0.4	0.0	0.0	0.06	0.0	0.0	0.11	0.0	0.28	0.0	0.07	0.04	0.0	235.76
34434	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.21	0.3	0.0	0.17	0.0	0.0	28.95
49430	0.0	0.0	0.04	0.06	0.06	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.18	0.08	0.0	0.39	0.1	0.0	67.54
